,index
0,2022-03-18 22:35:35.824242
1,2022-03-18 14:35:57.288000
2,2022-03-18 20:16:57.238710
3,2022-03-18 21:56:29.122840
4,2022-03-18 16:18:41.383871
5,2022-03-18 17:06:24.661667
6,2022-03-18 19:58:27.817460
7,2022-03-18 22:17:23.134483
8,2022-03-18 16:12:05.120238
9,2022-03-18 18:35:11.122886
10,2022-03-18 17:54:39.450000
11,2022-03-18 19:48:13.082222
12,2022-03-18 20:26:58.412500
13,2022-03-18 14:19:17.315909
14,2022-03-18 22:55:35.632864
15,2022-03-18 18:25:23.877895
16,2022-03-18 21:47:19.018079
17,2022-03-18 21:25:39.748611
18,2022-03-18 22:11:14.198734
19,2022-03-18 18:08:16.566061
20,2022-03-18 15:46:51.395833
21,2022-03-18 15:06:03.726337
22,2022-03-18 19:27:33.321111
23,2022-03-18 20:04:52.487719
24,2022-03-18 17:00:14.565000
25,2022-03-18 18:14:10.851515
26,2022-03-18 18:51:42.867041
27,2022-03-18 20:51:11.576984
28,2022-03-18 15:26:32.826776
29,2022-03-18 14:59:30.085417
30,2022-03-18 15:33:39.776190
31,2022-03-18 17:50:13.612403
32,2022-03-18 19:20:48.482609
33,2022-03-18 16:43:18.370085
34,2022-03-18 15:16:06.253448
35,2022-03-18 19:30:45.181720
36,2022-03-18 22:33:10.686667
37,2022-03-18 20:46:16.500000
38,2022-03-18 19:45:49.469136
39,2022-03-18 21:05:32.197193
40,2022-03-18 15:39:39.479661
41,2022-03-18 21:19:12.982353
42,2022-03-18 16:23:43.182143
43,2022-03-18 14:37:32.171111
44,2022-03-18 17:34:31.926961
45,2022-03-18 15:52:09.831548
46,2022-03-18 16:30:17.964000
47,2022-03-18 16:39:08.542593
48,2022-03-18 15:18:09.610215
49,2022-03-18 16:19:23.140404
50,2022-03-18 20:38:28.198551
51,2022-03-18 16:05:17.770667
52,2022-03-18 16:48:40.038776
53,2022-03-18 17:29:28.129560
54,2022-03-18 18:55:12.584259
55,2022-03-18 14:55:47.300725
56,2022-03-18 23:04:28.875000
57,2022-03-18 16:48:21.241322
58,2022-03-18 14:26:22.242130
59,2022-03-18 14:46:02.119048
